Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/PSiter_from2ROPPM_dim50_step5e-05_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (7776047.9384910483, 2.186347363517986e-13)
Iter #: 20 loss (7648897.7837021127, 1.8782021625127273e-13)
Iter #: 30 loss (7366307.1985422513, 2.332042496947614e-13)
Iter #: 40 loss (7160479.4291904969, 1.7780247057150138e-13)
Iter #: 50 loss (7026597.6392925391, 2.1232844690785428e-13)
Iter #: 60 loss (6927414.0348404078, 2.1116873413055397e-13)
Iter #: 70 loss (6846832.9119875925, 2.1636952894814596e-13)
Iter #: 80 loss (6776430.2476646118, 1.9608935865870711e-13)
Iter #: 90 loss (6710542.9672611523, 1.7711280914570643e-13)
Iter #: 100 loss (6645865.6327137128, 2.2157626927410249e-13)
Iter #: 110 loss (6582681.1447039871, 2.2965195394368899e-13)
Iter #: 120 loss (6523683.6856646528, 2.0576423705878209e-13)
Iter #: 130 loss (6470636.6425029309, 2.2996720631290287e-13)
Iter #: 140 loss (6423687.7262937063, 2.1806211995269415e-13)
Iter #: 150 loss (6382298.775669165, 2.0684931615204214e-13)
Iter #: 160 loss (6345664.2766466392, 2.190114628996152e-13)
Iter #: 170 loss (6312923.3734504404, 2.1632063650069296e-13)
Iter #: 180 loss (6283319.6548794191, 2.1169315413002034e-13)
Iter #: 190 loss (6256252.7855045786, 2.1196226024771771e-13)
Iter #: 200 loss (6231265.0778993163, 2.2488664317583865e-13)
Iter #: 210 loss (6208010.6889064079, 2.4341964512129555e-13)
Iter #: 220 loss (6186226.6907909168, 2.4811343007346498e-13)
Iter #: 230 loss (6165710.6968868887, 2.2855123018507542e-13)
Iter #: 240 loss (6146304.7600088799, 2.5885722250330666e-13)
Iter #: 250 loss (6127883.9733799715, 2.5167548016329183e-13)
Iter #: 260 loss (6110348.229650856, 2.764364139653779e-13)
Iter #: 270 loss (6093616.0175540978, 2.3649643546432367e-13)
Iter #: 280 loss (6077619.5895145731, 3.1168747899134297e-13)
Iter #: 290 loss (6062301.1792337727, 2.6621398358111009e-13)
Iter #: 300 loss (6047610.1441337857, 2.5129340490217051e-13)
Iter #: 310 loss (6033500.9640011648, 2.7456032629841318e-13)
Iter #: 320 loss (6019931.9924597256, 2.6142060441872437e-13)
Iter #: 330 loss (6006864.7966195596, 2.8828019359454898e-13)
Iter #: 340 loss (5994263.8840874154, 2.6073190279134377e-13)
Iter #: 350 loss (5982096.6256376142, 2.8224271384644008e-13)
Iter #: 360 loss (5970333.2271630624, 2.5259595705583592e-13)
Iter #: 370 loss (5958946.6637561508, 2.8409816540335328e-13)
Iter #: 380 loss (5947912.5420094011, 3.0376857839473708e-13)
