Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/PSiter_from2ROPPM_dim50_step0.0004_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (6816341.2627514452, 2.0862841612087045e-13)
Iter #: 20 loss (6363758.4119913457, 2.02930457321175e-13)
Iter #: 30 loss (6156037.9171330864, 2.0971573122958203e-13)
Iter #: 40 loss (6026675.0052583842, 2.8103184458992201e-13)
Iter #: 50 loss (5931953.6322903363, 3.1764287190130306e-13)
Iter #: 60 loss (5857245.7300644293, 3.9192058387069785e-13)
Iter #: 70 loss (5795319.0070708403, 3.9927162113738426e-13)
Iter #: 80 loss (5742074.8011152549, 4.1697059115811712e-13)
Iter #: 90 loss (5695111.9860769287, 4.7374615951471757e-13)
Iter #: 100 loss (5652979.3443739517, 4.7990520789364825e-13)
Iter #: 110 loss (5614739.6669489304, 4.6978680512787602e-13)
Iter #: 120 loss (5579751.4016805645, 4.7630382349006559e-13)
Iter #: 130 loss (5547548.3002653932, 4.9877488497325605e-13)
Iter #: 140 loss (5517771.4603817202, 5.7964025492560719e-13)
Iter #: 150 loss (5490133.79199926, 7.5083730067838021e-13)
Iter #: 160 loss (5464400.7399826236, 5.5856392828309554e-13)
Iter #: 170 loss (5440376.4620945649, 5.2921928294671246e-13)
Iter #: 180 loss (5417892.1978112366, 5.70415256809776e-13)
Iter #: 190 loss (5396798.0480439765, 6.8916372052406824e-13)
Iter #: 200 loss (5376990.9095433112, 6.7921802973980598e-13)
Iter #: 210 loss (5395971.7976128934, 6.3844548548970897e-13)
Iter #: 220 loss (5383677.0420273384, 7.7213686373423646e-13)
Iter #: 230 loss (5372546.4576736502, 6.6947304916214987e-13)
Iter #: 240 loss (5362499.4211899042, 7.8095638790170632e-13)
Iter #: 250 loss (5355209.6943431003, 6.9859748992744232e-13)
Iter #: 260 loss (5340352.6260392051, 7.2862606849554164e-13)
Iter #: 270 loss (5397877.2883585794, 6.7198867538537932e-13)
Iter #: 280 loss (5306095.9128764234, 9.1536788950988163e-13)
Iter #: 290 loss (5318275.3469717726, 1.0190692445818799e-12)
Iter #: 300 loss (5281279.268108516, 9.3628168923395665e-13)
Iter #: 310 loss (5223341.3651542729, 8.5301452564646629e-13)
Iter #: 320 loss (5263265.8541671596, 9.1594804565334989e-13)
Iter #: 330 loss (5226288.6473677121, 9.4908340346304694e-13)
Iter #: 340 loss (5360923.6043099873, 7.2930530077752974e-13)
Iter #: 350 loss (5227936.7977913544, 1.0790139987138403e-12)
Iter #: 360 loss (5318543.7016781298, 8.9048816635194032e-13)
Iter #: 370 loss (5232439.667929139, 1.1934172016057498e-12)
