Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PPM_dim50_step0.0001_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (129556996.91388018, 2.9442989346071593e+22)
Iter #: 20 loss (129560754.64732932, 2.3911135726205623e+43)
Iter #: 30 loss (129560754.64732932, 4.9132618388682916e+65)
Iter #: 40 loss (129560754.64732932, 3.6564943303650354e+86)
Iter #: 50 loss (129560754.64732932, 8.1989453922237786e+108)
Iter #: 60 loss (129560754.64732932, 6.1040354851316268e+129)
Iter #: 70 loss (25912159.932273578, 1.3681889496441259e+152)
Iter #: 80 loss (129560754.64732932, inf)
Iter #: 90 loss (129560754.64732932, inf)
Iter #: 100 loss (129560754.64732932, inf)
Iter #: 110 loss (129560754.64732932, inf)
Iter #: 120 loss (129560754.64732932, inf)
Iter #: 130 loss (129560754.64732932, inf)
Iter #: 140 loss (25912159.932273578, inf)
Iter #: 150 loss (nan, nan)
Iter #: 160 loss (nan, nan)
Iter #: 170 loss (nan, nan)
Iter #: 180 loss (nan, nan)
Iter #: 190 loss (nan, nan)
Iter #: 200 loss (nan, nan)
Iter #: 210 loss (nan, nan)
Iter #: 220 loss (nan, nan)
Iter #: 230 loss (nan, nan)
Iter #: 240 loss (nan, nan)
Iter #: 250 loss (nan, nan)
Iter #: 260 loss (nan, nan)
Iter #: 270 loss (nan, nan)
Iter #: 280 loss (nan, nan)
Iter #: 290 loss (nan, nan)
Iter #: 300 loss (nan, nan)
Iter #: 310 loss (nan, nan)
Iter #: 320 loss (nan, nan)
Iter #: 330 loss (nan, nan)
Iter #: 340 loss (nan, nan)
Iter #: 350 loss (nan, nan)
Iter #: 360 loss (nan, nan)
Iter #: 370 loss (nan, nan)
Iter #: 380 loss (nan, nan)
Iter #: 390 loss (nan, nan)
Iter #: 400 loss (nan, nan)
Iter #: 410 loss (nan, nan)
Iter #: 420 loss (nan, nan)
Iter #: 430 loss (nan, nan)
Iter #: 440 loss (nan, nan)
Iter #: 450 loss (nan, nan)
Iter #: 460 loss (nan, nan)
Iter #: 470 loss (nan, nan)
Iter #: 480 loss (nan, nan)
Iter #: 490 loss (nan, nan)
Iter #: 500 loss (nan, nan)
Iter #: 510 loss (nan, nan)
Iter #: 520 loss (nan, nan)
Iter #: 530 loss (nan, nan)
Iter #: 540 loss (nan, nan)
Iter #: 550 loss (nan, nan)
Iter #: 560 loss (nan, nan)
Iter #: 570 loss (nan, nan)
Iter #: 580 loss (nan, nan)
Iter #: 590 loss (nan, nan)
Iter #: 600 loss (nan, nan)
Iter #: 610 loss (nan, nan)
Iter #: 620 loss (nan, nan)
Iter #: 630 loss (nan, nan)
Iter #: 640 loss (nan, nan)
Iter #: 650 loss (nan, nan)
Iter #: 660 loss (nan, nan)
Iter #: 670 loss (nan, nan)
Iter #: 680 loss (nan, nan)
Iter #: 690 loss (nan, nan)
Iter #: 700 loss (nan, nan)
Iter #: 710 loss (nan, nan)
Iter #: 720 loss (nan, nan)
Iter #: 730 loss (nan, nan)
Iter #: 740 loss (nan, nan)
Iter #: 750 loss (nan, nan)
Iter #: 760 loss (nan, nan)
Iter #: 770 loss (nan, nan)
Iter #: 780 loss (nan, nan)
Iter #: 790 loss (nan, nan)
Iter #: 800 loss (nan, nan)
Iter #: 810 loss (nan, nan)
Iter #: 820 loss (nan, nan)
Iter #: 830 loss (nan, nan)
Iter #: 840 loss (nan, nan)
Iter #: 850 loss (nan, nan)
Iter #: 860 loss (nan, nan)
Iter #: 870 loss (nan, nan)
Iter #: 880 loss (nan, nan)
Iter #: 890 loss (nan, nan)
Iter #: 900 loss (nan, nan)
Iter #: 910 loss (nan, nan)
Iter #: 920 loss (nan, nan)
Iter #: 930 loss (nan, nan)
Iter #: 940 loss (nan, nan)
Iter #: 950 loss (nan, nan)
Iter #: 960 loss (nan, nan)
Iter #: 970 loss (nan, nan)
Iter #: 980 loss (nan, nan)
Iter #: 990 loss (nan, nan)
Iter #: 1000 loss (nan, nan)
Iter #: 1010 loss (nan, nan)
Iter #: 1020 loss (nan, nan)
Iter #: 1030 loss (nan, nan)
Iter #: 1040 loss (nan, nan)
Iter #: 1050 loss (nan, nan)
Iter #: 1060 loss (nan, nan)
Iter #: 1070 loss (nan, nan)
Iter #: 1080 loss (nan, nan)
Iter #: 1090 loss (nan, nan)
Iter #: 1100 loss (nan, nan)
Iter #: 1110 loss (nan, nan)
Iter #: 1120 loss (nan, nan)
Iter #: 1130 loss (nan, nan)
Iter #: 1140 loss (nan, nan)
Iter #: 1150 loss (nan, nan)
Iter #: 1160 loss (nan, nan)
Iter #: 1170 loss (nan, nan)
Iter #: 1180 loss (nan, nan)
Iter #: 1190 loss (nan, nan)
Iter #: 1200 loss (nan, nan)
Iter #: 1210 loss (nan, nan)
Iter #: 1220 loss (nan, nan)
Iter #: 1230 loss (nan, nan)
Iter #: 1240 loss (nan, nan)
Iter #: 1250 loss (nan, nan)
Iter #: 1260 loss (nan, nan)
Iter #: 1270 loss (nan, nan)
Iter #: 1280 loss (nan, nan)
Iter #: 1290 loss (nan, nan)
Iter #: 1300 loss (nan, nan)
Iter #: 1310 loss (nan, nan)
Iter #: 1320 loss (nan, nan)
Iter #: 1330 loss (nan, nan)
Iter #: 1340 loss (nan, nan)
Iter #: 1350 loss (nan, nan)
Iter #: 1360 loss (nan, nan)
Iter #: 1370 loss (nan, nan)
Iter #: 1380 loss (nan, nan)
Iter #: 1390 loss (nan, nan)
Iter #: 1400 loss (nan, nan)
Iter #: 1410 loss (nan, nan)
Iter #: 1420 loss (nan, nan)
Iter #: 1430 loss (nan, nan)
Iter #: 1440 loss (nan, nan)
Iter #: 1450 loss (nan, nan)
Iter #: 1460 loss (nan, nan)
Iter #: 1470 loss (nan, nan)
Iter #: 1480 loss (nan, nan)
Iter #: 1490 loss (nan, nan)
Iter #: 1500 loss (nan, nan)
Iter #: 1510 loss (nan, nan)
Iter #: 1520 loss (nan, nan)
Iter #: 1530 loss (nan, nan)
Iter #: 1540 loss (nan, nan)
Iter #: 1550 loss (nan, nan)
Iter #: 1560 loss (nan, nan)
Iter #: 1570 loss (nan, nan)
Iter #: 1580 loss (nan, nan)
Iter #: 1590 loss (nan, nan)
Iter #: 1600 loss (nan, nan)
Iter #: 1610 loss (nan, nan)
Iter #: 1620 loss (nan, nan)
Iter #: 1630 loss (nan, nan)
Iter #: 1640 loss (nan, nan)
