Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PPM_dim50_step1.15e-05_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (6627751.0957739307, 2.3012167158190189)
Iter #: 20 loss (6330684.259487316, 23.011132970295815)
Iter #: 30 loss (5997417.6847907677, 125.81105232247882)
Iter #: 40 loss (5863169.2258449094, 208.50040628072313)
Iter #: 50 loss (5721404.7528999364, 287.08468428605312)
Iter #: 60 loss (5616071.0588601297, 360.50158508823222)
Iter #: 70 loss (5526573.6925949901, 429.81841109725605)
Iter #: 80 loss (5450372.0081763342, 496.11819210644336)
Iter #: 90 loss (5384541.3685135283, 559.27372316500907)
Iter #: 100 loss (5327946.1029892992, 619.18870748181359)
Iter #: 110 loss (5276984.3500854205, 676.33453158614259)
Iter #: 120 loss (5230260.4962466145, 731.02774706902017)
Iter #: 130 loss (5187656.1587560968, 783.35185331825369)
Iter #: 140 loss (5148971.1752277417, 833.3920213196028)
Iter #: 150 loss (5113874.1760398904, 881.25972891566448)
Iter #: 160 loss (5082010.9926569071, 927.07514703356333)
Iter #: 170 loss (5053048.7029366028, 970.95662284370587)
Iter #: 180 loss (5026685.2402857738, 1013.0165759473751)
Iter #: 190 loss (5002649.2704809085, 1053.360297316982)
Iter #: 200 loss (4980698.2748712879, 1092.0859258535706)
Iter #: 210 loss (4960616.1591883693, 1129.2848926012252)
Iter #: 220 loss (4942210.5100354189, 1165.0425224010703)
Iter #: 230 loss (4925309.770835598, 1199.4386386552455)
Iter #: 240 loss (4909760.6750907842, 1232.5480974872571)
Iter #: 250 loss (4895426.1513924403, 1264.4412307292264)
Iter #: 260 loss (4882183.7317607468, 1295.1842085800765)
Iter #: 270 loss (4869924.340680059, 1324.8393440306718)
Iter #: 280 loss (4858551.2652400481, 1353.4653587030791)
Iter #: 290 loss (4847979.1184792519, 1381.1176218471267)
Iter #: 300 loss (4838132.6855773656, 1407.8483667640769)
Iter #: 310 loss (4828945.6458005961, 1433.706884477609)
Iter #: 320 loss (4820359.2506686896, 1458.7396935959739)
Iter #: 330 loss (4812321.079806353, 1482.9906874039577)
Iter #: 340 loss (4804783.9812091244, 1506.501262570634)
Iter #: 350 loss (4797705.2489993023, 1529.3104361370483)
Iter #: 360 loss (4791046.030826604, 1551.4549571682717)
Iter #: 370 loss (4784770.9154550172, 1572.9694169813592)
Iter #: 380 loss (4778847.6377147287, 1593.8863588749848)
Iter #: 390 loss (4773246.8462622641, 1614.2363863223563)
Iter #: 400 loss (4767941.8972814027, 1634.0482680979892)
Iter #: 410 loss (4762908.6547122337, 1653.3490393051206)
Iter #: 420 loss (4758125.2902723495, 1672.1640980154887)
Iter #: 430 loss (4753572.0838123448, 1690.5172977472689)
Iter #: 440 loss (4749231.2276474163, 1708.4310361742521)
Iter #: 450 loss (4745086.6390186874, 1725.9263403834823)
Iter #: 460 loss (4741123.7840582598, 1743.0229488320576)
Iter #: 470 loss (4737329.5154158464, 1759.7393900039569)
Iter #: 480 loss (4733691.9245244721, 1776.0930576792441)
Iter #: 490 loss (4730200.2085484648, 1792.1002827019242)
Iter #: 500 loss (4726844.5514171692, 1807.7764011509582)
Iter #: 510 loss (4723616.0179697415, 1823.1358188609086)
Iter #: 520 loss (4720506.4600571049, 1838.1920722881509)
Iter #: 530 loss (4717508.4334011534, 1852.9578857658128)
Iter #: 540 loss (4714615.1240458051, 1867.4452252305548)
Iter #: 550 loss (4711820.2833121521, 1881.6653485355191)
Iter #: 560 loss (4709118.1702649668, 1895.6288524864162)
Iter #: 570 loss (4706503.5007981565, 1909.3457167530412)
Iter #: 580 loss (4703971.402543786, 1922.8253448177438)
Iter #: 590 loss (4701517.3748991098, 1936.0766021269546)
Iter #: 600 loss (4699137.2535496401, 1949.10785161278)
Iter #: 610 loss (4696827.1789403381, 1961.926986749884)
Iter #: 620 loss (4694583.5682147779, 1974.5414623090235)
Iter #: 630 loss (4692403.0902015828, 1986.9583229632333)
Iter #: 640 loss (4690282.6430808902, 1999.184229896154)
Iter #: 650 loss (4688219.3344101571, 2011.2254855547405)
Iter #: 660 loss (4686210.4632297037, 2023.0880566807493)
Iter #: 670 loss (4684253.504004268, 2034.7775957473204)
Iter #: 680 loss (4682346.092187685, 2046.2994609187174)
Iter #: 690 loss (4680486.0112249972, 2057.6587346430829)
Iter #: 700 loss (4678671.180829091, 2068.8602409800437)
Iter #: 710 loss (4676899.6463896008, 2079.9085617572091)
Iter #: 720 loss (4675169.5693884743, 2090.8080516421869)
Iter #: 730 loss (4673479.2187123541, 2101.5628522097313)
Iter #: 740 loss (4671826.9627641318, 2112.1769050770463)
Iter #: 750 loss (4670211.2622883748, 2122.6539641741851)
Iter #: 760 loss (4668630.6638341341, 2132.9976072108711)
Iter #: 770 loss (4667083.7937885476, 2143.2112463958993)
Iter #: 780 loss (4665569.3529211525, 2153.2981384606228)
Iter #: 790 loss (4664086.1113869036, 2163.261394033781)
Iter #: 800 loss (4662632.9041400477, 2173.1039864110767)
Iter #: 810 loss (4661208.6267194562, 2182.8287597595267)
Iter #: 820 loss (4659812.2313650902, 2192.4384367934163)
Iter #: 830 loss (4658442.7234395994, 2201.9356259560905)
Iter #: 840 loss (4657099.1581141753, 2211.3228281389956)
Iter #: 850 loss (4655780.6373160351, 2220.60244296778)
Iter #: 860 loss (4654486.306870061, 2229.7767746820209)
Iter #: 870 loss (4653215.353903573, 2238.848037635732)
Iter #: 880 loss (4651967.0043153493, 2247.8183614393406)
Iter #: 890 loss (4650740.5206681928, 2256.6897957722213)
Iter #: 900 loss (4649535.199696389, 2265.4643148726673)
Iter #: 910 loss (4648350.3711299123, 2274.1438217557952)
Iter #: 920 loss (4647185.3940326795, 2282.7301521111995)
Iter #: 930 loss (4646039.6590524931, 2291.2250780563595)
Iter #: 940 loss (4644912.576286206, 2299.630311477214)
Iter #: 950 loss (4643803.5863167169, 2307.9475083783777)
Iter #: 960 loss (4642712.0096388506, 2316.1782782362916)
Iter #: 970 loss (4641636.2158202529, 2324.324263300161)
Iter #: 980 loss (4640563.2216165178, 2332.3879114494084)
Iter #: 990 loss (4639348.4348238949, 2340.3808282530763)
Iter #: 1000 loss (4635632.8634992288, 2348.4092946452411)
Iter #: 1010 loss (4626370.5381641993, 2356.8724629365997)
Iter #: 1020 loss (4624791.9806724992, 2365.24554668358)
Iter #: 1030 loss (4623452.0310357539, 2373.4164259916915)
Iter #: 1040 loss (4622214.7293857094, 2381.4355876484424)
