Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PPM_dim50_step1e-05_0.0
Iter #: 1010 loss (4605128.2565370901, 2264.6835504335359)
Iter #: 1020 loss (4604293.6066104379, 2272.9781786612348)
Iter #: 1030 loss (4603472.5306791365, 2281.1940511224807)
Iter #: 1040 loss (4602664.6207274431, 2289.3326119405483)
Iter #: 1050 loss (4601869.4873544294, 2297.3952587682229)
Iter #: 1060 loss (4601086.7586447066, 2305.3833448392156)
Iter #: 1070 loss (4600316.0791218411, 2313.2981809204075)
Iter #: 1080 loss (4599557.1087774308, 2321.1410371692405)
Iter #: 1090 loss (4598809.5221697437, 2328.9131449004676)
Iter #: 1100 loss (4598073.0075863143, 2336.6156982663251)
Iter #: 1110 loss (4597347.2662652126, 2344.2498558540774)
Iter #: 1120 loss (4596632.0116703939, 2351.816742204735)
Iter #: 1130 loss (4595926.9688168345, 2359.317449256655)
Iter #: 1140 loss (4595231.8736416735, 2366.7530377175653)
Iter #: 1150 loss (4594546.4724175865, 2374.1245383684686)
Iter #: 1160 loss (4593870.5212053647, 2381.4329533027267)
Iter #: 1170 loss (4593203.7853426011, 2388.6792571035176)
Iter #: 1180 loss (4592546.0389657952, 2395.8643979627327)
Iter #: 1190 loss (4591897.0645633517, 2402.9892987442568)
Iter #: 1200 loss (4591256.6525572641, 2410.0548579944552)
Iter #: 1210 loss (4590624.6009112215, 2417.0619509025751)
Iter #: 1220 loss (4590000.7147633415, 2424.0114302136499)
Iter #: 1230 loss (4589384.8060816415, 2430.9041270963739)
Iter #: 1240 loss (4588776.693340729, 2437.7408519683254)
Iter #: 1250 loss (4588176.2012179671, 2444.5223952807705)
Iter #: 1260 loss (4587583.1603080053, 2451.2495282652148)
Iter #: 1270 loss (4586997.4068540819, 2457.923003643727)
Iter #: 1280 loss (4586418.7824952388, 2464.5435563049887)
Iter #: 1290 loss (4585847.1340279216, 2471.1119039479076)
Iter #: 1300 loss (4585282.3131814124, 2477.6287476945517)
Iter #: 1310 loss (4584724.176405766, 2484.0947726740519)
Iter #: 1320 loss (4584172.5846716333, 2490.5106485790579)
Iter #: 1330 loss (4583627.4032809911, 2496.87703019623)
Iter #: 1340 loss (4583088.5016881581, 2503.1945579121748)
Iter #: 1350 loss (4582555.7533303797, 2509.4638581961572)
Iter #: 1360 loss (4582029.0354672596, 2515.6855440608451)
Iter #: 1370 loss (4581508.2290285518, 2521.8602155022832)
Iter #: 1380 loss (4580993.2184698004, 2527.9884599201987)
Iter #: 1390 loss (4580483.8916350715, 2534.070852519721)
Iter #: 1400 loss (4579980.1396267079, 2540.1079566954932)
Iter #: 1410 loss (4579481.8566812901, 2546.1003243991295)
Iter #: 1420 loss (4578988.9400516842, 2552.0484964908983)
Iter #: 1430 loss (4578501.2898946078, 2557.9530030764613)
Iter #: 1440 loss (4578018.8091635443, 2563.81436382948)
Iter #: 1450 loss (4577541.4035065323, 2569.6330883007977)
Iter #: 1460 loss (4577068.9811686426, 2575.4096762149184)
Iter #: 1470 loss (4576601.452898833, 2581.1446177544358)
Iter #: 1480 loss (4576138.731860958, 2586.8383938330257)
Iter #: 1490 loss (4575680.7335485714, 2592.4914763575957)
Iter #: 1500 loss (4575227.3757035425, 2598.1043284801294)
Iter #: 1510 loss (4574778.5782380523, 2603.6774048397515)
Iter #: 1520 loss (4574334.263159913, 2609.2111517954982)
Iter #: 1530 loss (4573894.3545010043, 2614.7060076502562)
Iter #: 1540 loss (4573458.7782486323, 2620.1624028662941)
