Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/PSiter_from2ROPPM_dim50_step0.0002_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (7198722.089590976, 2.1414039052446149e-13)
Iter #: 20 loss (6791519.8420486636, 2.0056745668298656e-13)
Iter #: 30 loss (6536028.2841028273, 1.948601147623438e-13)
Iter #: 40 loss (6352363.9043376185, 2.145730989675145e-13)
Iter #: 50 loss (6235869.399157186, 2.316046437894122e-13)
Iter #: 60 loss (6149933.6386443526, 2.4942072322336001e-13)
Iter #: 70 loss (6080613.8593653748, 2.5371396406079763e-13)
Iter #: 80 loss (6022460.0155522982, 2.7409109287392629e-13)
Iter #: 90 loss (5972521.2446267623, 2.6357471543433209e-13)
Iter #: 100 loss (5928755.5092067765, 3.3779205953624397e-13)
Iter #: 110 loss (5889767.3481393252, 3.4205866049201214e-13)
Iter #: 120 loss (5854599.571651536, 3.4003496739780729e-13)
Iter #: 130 loss (5822541.6341131246, 3.6582266029965537e-13)
Iter #: 140 loss (5793039.3146813642, 3.623510808713835e-13)
Iter #: 150 loss (5765661.8822572762, 4.0396767295459915e-13)
Iter #: 160 loss (5740079.6286513181, 3.4923808543530493e-13)
Iter #: 170 loss (5716039.7649586564, 3.7065043436299537e-13)
Iter #: 180 loss (5693345.4524939442, 4.3809112093667365e-13)
Iter #: 190 loss (5671840.5956916306, 3.6751974166293757e-13)
Iter #: 200 loss (5651399.4132719198, 4.3293091211568249e-13)
Iter #: 210 loss (5631919.1336775105, 4.3365791610783609e-13)
Iter #: 220 loss (5613314.6375300102, 5.1629824670370932e-13)
Iter #: 230 loss (5595514.3826724607, 5.0060634750693785e-13)
Iter #: 240 loss (5578457.2735922094, 5.3770227227543995e-13)
Iter #: 250 loss (5562090.2969078254, 4.5633937589282565e-13)
Iter #: 260 loss (5546366.7946295282, 4.3504411033248411e-13)
Iter #: 270 loss (5531245.2451297501, 5.8694543195012279e-13)
Iter #: 280 loss (5516688.4132701606, 4.7392330867817097e-13)
Iter #: 290 loss (5502662.7383316327, 5.5076356170614209e-13)
Iter #: 300 loss (5489137.8533875495, 4.0978663366682075e-13)
Iter #: 310 loss (5476086.1646075333, 7.0360070688397331e-13)
Iter #: 320 loss (5463482.4546541804, 5.657674099066309e-13)
Iter #: 330 loss (5451303.5042537143, 6.7120042150474555e-13)
Iter #: 340 loss (5439527.7458830113, 6.0463272176913106e-13)
Iter #: 350 loss (5428134.9709822526, 7.2829521426808291e-13)
Iter #: 360 loss (5417106.1076308899, 6.6759533370601135e-13)
Iter #: 370 loss (5406423.0731912656, 6.2520281702890898e-13)
Iter #: 380 loss (5396068.692403038, 5.7331726064981231e-13)
Iter #: 390 loss (5386026.6616974045, 6.3026194761486984e-13)
Iter #: 400 loss (5376281.5378795238, 6.2307156686620519e-13)
Iter #: 410 loss (5366818.7329067644, 7.0982111823618547e-13)
Iter #: 420 loss (5357624.5032044556, 8.6230081763484546e-13)
Iter #: 430 loss (5348685.9286780143, 7.7383428631704286e-13)
Iter #: 440 loss (5339990.8814312778, 6.8016907030221319e-13)
Iter #: 450 loss (5331527.9867422068, 7.0037145179943186e-13)
Iter #: 460 loss (5323286.5795555571, 6.9198258739779556e-13)
Iter #: 470 loss (5315256.6593811447, 6.133243124188516e-13)
Iter #: 480 loss (5307428.8456929, 6.7322340470544365e-13)
Iter #: 490 loss (5299794.3351110751, 8.1447269821882539e-13)
Iter #: 500 loss (5292344.8610061938, 7.5033109979913074e-13)
Iter #: 510 loss (5285072.6557303583, 8.4396599417337026e-13)
Iter #: 520 loss (5277970.4154308289, 7.9809818635636451e-13)
Iter #: 530 loss (5271031.2672832878, 9.3436531187453544e-13)
Iter #: 540 loss (5264248.7389474856, 8.6054887635829071e-13)
Iter #: 550 loss (5257616.730058575, 8.1481586377223639e-13)
Iter #: 560 loss (5251129.4855982969, 8.4452227824994933e-13)
Iter #: 570 loss (5244781.5710236588, 8.3706870963678252e-13)
Iter #: 580 loss (5238567.8490606686, 7.7480779352415843e-13)
Iter #: 590 loss (5232483.458091177, 9.2559914394188341e-13)
Iter #: 600 loss (5226523.7920741206, 8.1804173919114947e-13)
Iter #: 610 loss (5220684.4819471417, 8.3694397512413782e-13)
Iter #: 620 loss (5214961.3784544114, 1.011394995130663e-12)
Iter #: 630 loss (5209350.5363434674, 9.2338138952822368e-13)
Iter #: 640 loss (5203848.1998682888, 9.7606768930166862e-13)
Iter #: 650 loss (5198450.7895315513, 9.4908724771890807e-13)
Iter #: 660 loss (5193154.889994747, 1.1111885261295733e-12)
Iter #: 670 loss (5187957.2390822191, 9.75374114944777e-13)
Iter #: 680 loss (5182854.7178040445, 1.0558493742173054e-12)
Iter #: 690 loss (5177844.3413226828, 7.992720703941525e-13)
Iter #: 700 loss (5172923.2507896004, 9.9964764083331707e-13)
Iter #: 710 loss (5168088.7059795158, 8.6452859249756792e-13)
Iter #: 720 loss (5163338.0786527181, 9.2185286193475391e-13)
Iter #: 730 loss (5158668.846577405, 8.5066775992885181e-13)
Iter #: 740 loss (5154078.5881474558, 9.7239622082999656e-13)
Iter #: 750 loss (5149564.9775325833, 9.8559344041531871e-13)
Iter #: 760 loss (5145125.7803004878, 7.9982488365743194e-13)
Iter #: 770 loss (5140758.8494524527, 1.0584088951805678e-12)
Iter #: 780 loss (5136462.1218161145, 8.744183268513878e-13)
Iter #: 790 loss (5132233.6147407163, 1.0464010127696524e-12)
Iter #: 800 loss (5128071.4230422303, 1.0320470968510288e-12)
Iter #: 810 loss (5123973.7161481073, 1.0430162663777332e-12)
Iter #: 820 loss (5119938.735393404, 9.9455883634448391e-13)
Iter #: 830 loss (5115964.7914236644, 1.0561817270883471e-12)
Iter #: 840 loss (5112050.2616637321, 9.9596360032826589e-13)
Iter #: 850 loss (5108193.5878164694, 1.0294524044321971e-12)
Iter #: 860 loss (5104393.2733616177, 1.1044179757742395e-12)
Iter #: 870 loss (5100647.8810326206, 9.2646667409544194e-13)
Iter #: 880 loss (5096956.0302566616, 1.2341847946323649e-12)
Iter #: 890 loss (5093316.3945532106, 1.2452406464720099e-12)
Iter #: 900 loss (5089727.6988945659, 1.0369899817325664e-12)
Iter #: 910 loss (5086188.7170413807, 1.0956942152123454e-12)
Iter #: 920 loss (5082698.2688734485, 1.1236558642220841e-12)
Iter #: 930 loss (5079255.2177423136, 1.1196980649199319e-12)
Iter #: 940 loss (5075858.4678763635, 1.2044939644875938e-12)
Iter #: 950 loss (5072506.9618699932, 1.0420628971694929e-12)
Iter #: 960 loss (5069199.6782879289, 1.0864960193724098e-12)
Iter #: 970 loss (5065935.6294116918, 1.1267255208609248e-12)
Iter #: 980 loss (5062713.8591500241, 1.1920319291063661e-12)
Iter #: 990 loss (5059533.4411282437, 9.8065617629542502e-13)
Iter #: 1000 loss (5056393.4769637566, 1.3228455967496435e-12)
Iter #: 1010 loss (5053293.0947276857, 1.0247343864927542e-12)
Iter #: 1020 loss (5050231.4475859264, 1.2766890085017384e-12)
Iter #: 1030 loss (5047207.7126071183, 1.0353623233275162e-12)
Iter #: 1040 loss (5044221.0897208545, 1.1219478966678502e-12)
Iter #: 1050 loss (5041270.8008073643, 1.1413384892306517e-12)
Iter #: 1060 loss (5038356.0888981428, 1.1639564179150904e-12)
Iter #: 1070 loss (5035476.2174679162, 1.5152007867602753e-12)
Iter #: 1080 loss (5032630.4697989123, 1.0610708087606494e-12)
Iter #: 1090 loss (5029818.1484013647, 1.1623665997553372e-12)
Iter #: 1100 loss (5027038.5744754365, 1.3127316292988362e-12)
Iter #: 1110 loss (5024291.0874033859, 1.3370038159691075e-12)
Iter #: 1120 loss (5021575.0442625498, 1.0602656841183447e-12)
Iter #: 1130 loss (5018889.8193525746, 1.0539771275388145e-12)
Iter #: 1140 loss (5016234.8037320198, 1.5029541303623469e-12)
Iter #: 1150 loss (5013609.4047611877, 1.1875904681713246e-12)
Iter #: 1160 loss (5011013.045649508, 1.0787260658099975e-12)
Iter #: 1170 loss (5008445.1650066692, 1.3543651644166934e-12)
Iter #: 1180 loss (5005905.2163973544, 1.2362221158070834e-12)
Iter #: 1190 loss (5003392.6679001469, 1.4415375669465073e-12)
Iter #: 1200 loss (5000907.0016711717, 1.558477443348962e-12)
Iter #: 1210 loss (4998447.713513487, 1.2250355767454578e-12)
Iter #: 1220 loss (4996014.3124528509, 1.3505000118601055e-12)
Iter #: 1230 loss (4993606.3203210421, 1.1710103667993321e-12)
Iter #: 1240 loss (4991223.2713471483, 1.1608621108356059e-12)
Iter #: 1250 loss (4988864.7117579281, 1.3403476863261331e-12)
Iter #: 1260 loss (4986530.1993874069, 1.2373006067478492e-12)
Iter #: 1270 loss (4984219.3032964068, 1.569064023097703e-12)
Iter #: 1280 loss (4981931.6034023361, 1.2521750716594743e-12)
Iter #: 1290 loss (4979666.690119422, 1.1655741160739683e-12)
Iter #: 1300 loss (4977424.1640098644, 1.5133311062093898e-12)
