Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/PSiter_from2ROPPM_dim50_step5e-06_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (7806276.2435806775, 1.9699456783340233e-13)
Iter #: 20 loss (7802894.8072103895, 1.8366678983253775e-13)
Iter #: 30 loss (7799579.0418886757, 2.0745773686732314e-13)
Iter #: 40 loss (7796261.9094779268, 2.2189818910107869e-13)
Iter #: 50 loss (7792868.3570335824, 1.9342859465717506e-13)
Iter #: 60 loss (7789312.0671036523, 1.9828412102096959e-13)
Iter #: 70 loss (7785491.8682111576, 1.842496290440419e-13)
Iter #: 80 loss (7781287.8460031208, 1.8943107983657744e-13)
Iter #: 90 loss (7776557.3227530131, 2.0093754220906945e-13)
Iter #: 100 loss (7771131.0758406837, 2.1831027747502573e-13)
Iter #: 110 loss (7764810.4682434946, 1.8896985429758319e-13)
Iter #: 120 loss (7757366.5755156409, 1.8595239465977637e-13)
Iter #: 130 loss (7748542.8810318485, 2.4322688071315244e-13)
Iter #: 140 loss (7738063.550861679, 1.9124754988244073e-13)
Iter #: 150 loss (7725649.4192355359, 1.7834358396267965e-13)
Iter #: 160 loss (7711043.1674443549, 2.0248753504873858e-13)
Iter #: 170 loss (7694043.2432778263, 2.021994786999076e-13)
Iter #: 180 loss (7674542.6175312232, 2.0413630872121345e-13)
Iter #: 190 loss (7652564.208793004, 1.9724708697368998e-13)
Iter #: 200 loss (7628281.8375975098, 2.0633038630084003e-13)
Iter #: 210 loss (7602016.8031899622, 1.8873515782128808e-13)
Iter #: 220 loss (7574207.0357556324, 2.0239361054261652e-13)
Iter #: 230 loss (7545355.7622175431, 1.7317296078463976e-13)
Iter #: 240 loss (7515973.9850763911, 1.7788136024746266e-13)
Iter #: 250 loss (7486531.3892752668, 1.8022814303490892e-13)
Iter #: 260 loss (7457424.3531276034, 1.7349189551147653e-13)
Iter #: 270 loss (7428962.2161955275, 1.949286589698119e-13)
Iter #: 280 loss (7401367.8985955091, 2.0800828705989115e-13)
Iter #: 290 loss (7374787.3614486465, 2.2052785461242914e-13)
Iter #: 300 loss (7349303.087451512, 1.7967702236489213e-13)
Iter #: 310 loss (7324948.2661602572, 2.0406253758443381e-13)
Iter #: 320 loss (7301719.7968037026, 2.0599994453833632e-13)
Iter #: 330 loss (7279589.2608311241, 2.007134836657257e-13)
Iter #: 340 loss (7258511.6628151955, 1.8687994361443596e-13)
Iter #: 350 loss (7238432.0880985307, 1.7221584180807979e-13)
Iter #: 360 loss (7219290.5811394444, 1.8433839126906692e-13)
Iter #: 370 loss (7201025.5895548956, 1.9551144422916832e-13)
Iter #: 380 loss (7183576.2995778983, 1.8046741454519251e-13)
Iter #: 390 loss (7166884.1427951483, 2.2610059772905177e-13)
Iter #: 400 loss (7150893.7009381959, 1.8302557764618779e-13)
Iter #: 410 loss (7135553.1851327214, 1.9916808786380249e-13)
Iter #: 420 loss (7120814.6226788172, 1.8546044275452815e-13)
Iter #: 430 loss (7106633.8492907984, 1.9054270796546867e-13)
Iter #: 440 loss (7092970.3773340043, 1.8786500453488965e-13)
Iter #: 450 loss (7079787.1898565637, 2.0227820398753523e-13)
Iter #: 460 loss (7067050.4948558286, 1.8058530517062425e-13)
Iter #: 470 loss (7054729.4630528409, 2.0115127315637482e-13)
Iter #: 480 loss (7042795.9644565685, 1.9684017485156735e-13)
Iter #: 490 loss (7031224.3133651344, 2.0016464214463227e-13)
Iter #: 500 loss (7019991.0275401622, 1.8978660176466059e-13)
Iter #: 510 loss (7009074.6046188185, 1.891224568185414e-13)
Iter #: 520 loss (6998455.3170436695, 2.1564130044321606e-13)
Iter #: 530 loss (6988115.0256279921, 1.9531678186323099e-13)
Iter #: 540 loss (6978037.0111471806, 1.8046829742586716e-13)
Iter #: 550 loss (6968205.8229189198, 2.0079448761832897e-13)
Iter #: 560 loss (6958607.1431101477, 2.0408065600234258e-13)
Iter #: 570 loss (6949227.6654190412, 2.1272038951770515e-13)
Iter #: 580 loss (6940054.9867787631, 1.9504757089449012e-13)
Iter #: 590 loss (6931077.5107830707, 1.8924632707072961e-13)
Iter #: 600 loss (6922284.3616199754, 1.7803861957632461e-13)
Iter #: 610 loss (6913665.3074033232, 2.0312484782134008e-13)
Iter #: 620 loss (6905210.6919027884, 1.9801867528470436e-13)
Iter #: 630 loss (6896911.373785371, 2.2068192024724997e-13)
Iter #: 640 loss (6888758.6725888913, 1.9733867888338673e-13)
Iter #: 650 loss (6880744.3207527902, 1.7431520641391029e-13)
Iter #: 660 loss (6872860.4211254939, 1.9292858429282236e-13)
Iter #: 670 loss (6865099.409457786, 1.9166610400418904e-13)
Iter #: 680 loss (6857454.0214711921, 1.9139295281879552e-13)
Iter #: 690 loss (6849917.2641630033, 1.9794441809571714e-13)
Iter #: 700 loss (6842482.3910752581, 1.818587685264206e-13)
Iter #: 710 loss (6835142.8813112006, 1.93411454619067e-13)
Iter #: 720 loss (6827892.4221334513, 2.1371227555889571e-13)
Iter #: 730 loss (6820724.8950193468, 1.8731815569910165e-13)
Iter #: 740 loss (6813634.3650835184, 1.9103390485474689e-13)
Iter #: 750 loss (6806615.0738030467, 1.9589943442754453e-13)
Iter #: 760 loss (6799661.4349986082, 2.0051299849596356e-13)
Iter #: 770 loss (6792768.0340316575, 1.7988318112903814e-13)
Iter #: 780 loss (6785929.6301764082, 1.9858245783492019e-13)
Iter #: 790 loss (6779141.1621117694, 2.0549813944360869e-13)
Iter #: 800 loss (6772397.7564541958, 1.8851853315291595e-13)
Iter #: 810 loss (6765694.7392158434, 2.0681356326220199e-13)
Iter #: 820 loss (6759027.6500240862, 2.0423049296339936e-13)
Iter #: 830 loss (6752392.2588776555, 2.1342540528425235e-13)
Iter #: 840 loss (6745784.5851427596, 2.0130839434438401e-13)
Iter #: 850 loss (6739200.9184108786, 2.335380895213698e-13)
Iter #: 860 loss (6732637.8407507166, 2.0580202416089269e-13)
Iter #: 870 loss (6726092.2497932157, 2.2917954706373363e-13)
Iter #: 880 loss (6719561.3819950568, 2.0336887389141579e-13)
Iter #: 890 loss (6713042.8353384482, 2.1733693930082214e-13)
Iter #: 900 loss (6706534.5906486139, 2.3935265880467705e-13)
Iter #: 910 loss (6700035.030653418, 1.9753236804256266e-13)
Iter #: 920 loss (6693542.9558780482, 2.1561981296392714e-13)
Iter #: 930 loss (6687057.5964703597, 1.7902782280776022e-13)
Iter #: 940 loss (6680578.6190935075, 2.0507418779267234e-13)
Iter #: 950 loss (6674106.1281090993, 2.2460580794832917e-13)
Iter #: 960 loss (6667640.6604068307, 2.0844086309299203e-13)
Iter #: 970 loss (6661183.1734147714, 2.1769496345421048e-13)
Iter #: 980 loss (6654735.0260469895, 2.1288687597782826e-13)
Iter #: 990 loss (6648297.9525988549, 1.8616580869887828e-13)
Iter #: 1000 loss (6641874.0298794722, 1.967605660752676e-13)
Iter #: 1010 loss (6635465.6381555256, 2.2146934603639178e-13)
Iter #: 1020 loss (6629075.4167572921, 2.0864180703164061e-13)
Iter #: 1030 loss (6622706.2154459991, 2.2401011598779215e-13)
Iter #: 1040 loss (6616361.0428453013, 2.1160078482354495e-13)
Iter #: 1050 loss (6610043.0133823147, 2.0732051302525915e-13)
Iter #: 1060 loss (6603755.294255334, 2.0131970770545741e-13)
Iter #: 1070 loss (6597501.0539379492, 2.0354254268527781e-13)
Iter #: 1080 loss (6591283.4136442868, 2.0395497594588673e-13)
Iter #: 1090 loss (6585105.4030217314, 2.1954564495215055e-13)
Iter #: 1100 loss (6578969.9211187894, 2.145797414486074e-13)
Iter #: 1110 loss (6572879.7034106106, 2.2212890317918215e-13)
Iter #: 1120 loss (6566837.2953737732, 1.9575869329601461e-13)
Iter #: 1130 loss (6560845.0328038922, 1.9591053939461259e-13)
Iter #: 1140 loss (6554905.0287846867, 2.016165765123212e-13)
Iter #: 1150 loss (6549019.1669599721, 2.164038158974152e-13)
Iter #: 1160 loss (6543189.1005470958, 2.0455227716073629e-13)
Iter #: 1170 loss (6537416.2563664764, 2.2538029381241413e-13)
Iter #: 1180 loss (6531701.8430540124, 1.974300775108658e-13)
Iter #: 1190 loss (6526046.8625694066, 2.1112639946898963e-13)
Iter #: 1200 loss (6520452.1241097273, 2.0588350657662407e-13)
Iter #: 1210 loss (6514918.2595783249, 2.0885353995958011e-13)
Iter #: 1220 loss (6509445.7398331743, 2.1644395271962828e-13)
Iter #: 1230 loss (6504034.8910390772, 1.885797455960909e-13)
Iter #: 1240 loss (6498685.910563427, 1.9400590785572885e-13)
Iter #: 1250 loss (6493398.8819767442, 2.0920052663258668e-13)
Iter #: 1260 loss (6488173.7888410119, 2.1243408191019864e-13)
Iter #: 1270 loss (6483010.5270817596, 2.1599817065948729e-13)
Iter #: 1280 loss (6477908.9158430286, 1.9801118610668515e-13)
Iter #: 1290 loss (6472868.7068108059, 2.034861865810168e-13)
Iter #: 1300 loss (6467889.592062749, 2.5512957739265471e-13)
Iter #: 1310 loss (6462971.2105555991, 1.9922144887590864e-13)
Iter #: 1320 loss (6458113.1534003839, 1.9649320779370511e-13)
Iter #: 1330 loss (6453314.9680989087, 2.4633074160264029e-13)
Iter #: 1340 loss (6448576.1619247859, 2.3705084025416986e-13)
Iter #: 1350 loss (6443896.2046321537, 2.0812870805696901e-13)
Iter #: 1360 loss (6439274.5306648146, 2.2303600161609273e-13)
Iter #: 1370 loss (6434710.5410230234, 2.1517717961840165e-13)
Iter #: 1380 loss (6430203.6049237996, 2.4926972191456855e-13)
Iter #: 1390 loss (6425753.0613682698, 1.8857885840362413e-13)
Iter #: 1400 loss (6421358.220704277, 2.1848894235343264e-13)
Iter #: 1410 loss (6417018.3662501397, 2.0802950116382112e-13)
Iter #: 1420 loss (6412732.7560223686, 2.061967329196336e-13)
Iter #: 1430 loss (6408500.624591195, 2.2639453505527666e-13)
Iter #: 1440 loss (6404321.185070524, 2.1658383988100672e-13)
Iter #: 1450 loss (6400193.6312355846, 2.046142394783887e-13)
Iter #: 1460 loss (6396117.1397506408, 2.1120757384447741e-13)
Iter #: 1470 loss (6392090.872482378, 2.2053524294673365e-13)
Iter #: 1480 loss (6388113.9788690889, 2.0582387708685142e-13)
Iter #: 1490 loss (6384185.5983141111, 2.2587165274909652e-13)
Iter #: 1500 loss (6380304.8625717675, 1.9457954403605887e-13)
Iter #: 1510 loss (6376470.8980951309, 1.9958270658303796e-13)
Iter #: 1520 loss (6372682.8283180613, 2.5019727597555157e-13)
Iter #: 1530 loss (6368939.7758470327, 2.3867286966911471e-13)
Iter #: 1540 loss (6365240.8645426137, 2.1150988963024772e-13)
Iter #: 1550 loss (6361585.2214742126, 2.1229575550025843e-13)
Iter #: 1560 loss (6357971.9787364807, 2.1743717343906504e-13)
Iter #: 1570 loss (6354400.2751189312, 2.1331123711142235e-13)
Iter #: 1580 loss (6350869.2576247621, 2.2693507909765999e-13)
Iter #: 1590 loss (6347378.0828373628, 2.2713585487728692e-13)
Iter #: 1600 loss (6343925.9181364262, 2.4416441705616475e-13)
Iter #: 1610 loss (6340511.9427671116, 1.9564131744280234e-13)
Iter #: 1620 loss (6337135.3487681886, 2.327571582984482e-13)
Iter #: 1630 loss (6333795.3417661199, 1.9981229882549087e-13)
Iter #: 1640 loss (6330491.1416430557, 2.0359723387320937e-13)
Iter #: 1650 loss (6327221.983087467, 2.2840178793054285e-13)
Iter #: 1660 loss (6323987.1160363648, 2.1510202538765826e-13)
Iter #: 1670 loss (6320785.806018386, 2.6105413943552786e-13)
Iter #: 1680 loss (6317617.3344064644, 2.1759750790711388e-13)
Iter #: 1690 loss (6314480.9985892493, 2.0467051213475878e-13)
Iter #: 1700 loss (6311376.1120692827, 2.3787318125070747e-13)
Iter #: 1710 loss (6308302.0044962289, 2.3549627346278033e-13)
Iter #: 1720 loss (6305258.0216424437, 2.3475849248972207e-13)
Iter #: 1730 loss (6302243.5253277719, 2.2260399169475545e-13)
Iter #: 1740 loss (6299257.893300076, 2.2653317639890821e-13)
Iter #: 1750 loss (6296300.5190773699, 2.2581091754766092e-13)
Iter #: 1760 loss (6293370.8117567068, 2.3943350654267116e-13)
Iter #: 1770 loss (6290468.1957947901, 2.6813563841080927e-13)
Iter #: 1780 loss (6287592.1107646413, 1.966855567356978e-13)
Iter #: 1790 loss (6284742.0110921813, 2.5822398111017019e-13)
Iter #: 1800 loss (6281917.3657762855, 2.2019963626952318e-13)
Iter #: 1810 loss (6279117.6580953551, 2.6022521701924958e-13)
Iter #: 1820 loss (6276342.3853032012, 2.2100064894149078e-13)
Iter #: 1830 loss (6273591.0583168417, 2.0326120361132664e-13)
Iter #: 1840 loss (6270863.2013980746, 2.2995607131069931e-13)
Iter #: 1850 loss (6268158.3518311679, 2.2414657554402423e-13)
Iter #: 1860 loss (6265476.0595979793, 2.2687883583901436e-13)
Iter #: 1870 loss (6262815.8870521626, 2.546453050488512e-13)
Iter #: 1880 loss (6260177.4085937757, 2.5146778142089996e-13)
Iter #: 1890 loss (6257560.2103454396, 2.3330337244342621e-13)
Iter #: 1900 loss (6254963.8898309208, 2.2248907310487637e-13)
Iter #: 1910 loss (6252388.0556569602, 2.2413421269899349e-13)
Iter #: 1920 loss (6249832.3271994023, 2.5164156792375256e-13)
Iter #: 1930 loss (6247296.3342938377, 2.5501160896012567e-13)
Iter #: 1940 loss (6244779.7169314874, 2.2667899007154836e-13)
Iter #: 1950 loss (6242282.1249608723, 2.0728044925497256e-13)
Iter #: 1960 loss (6239803.2177953841, 2.2672395540120132e-13)
Iter #: 1970 loss (6237342.6641273219, 2.4290864929966216e-13)
