Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PMM_dim50_step5.60717030489e-09_0.0
Iter #: 910 loss (7788381.3222905071, 4.4021443384757719e-05)
Iter #: 920 loss (7788205.401187622, 4.4498805423063157e-05)
Iter #: 930 loss (7788030.3644006094, 4.4976038073290239e-05)
Iter #: 940 loss (7787856.2029959559, 4.5453141562697396e-05)
Iter #: 950 loss (7787682.9080870459, 4.5930116084401757e-05)
Iter #: 960 loss (7787510.4708336135, 4.6406961844411873e-05)
Iter #: 970 loss (7787338.8824412851, 4.6883679046207411e-05)
Iter #: 980 loss (7787168.1341611017, 4.7360267883223173e-05)
Iter #: 990 loss (7786998.2172890035, 4.7836728551037974e-05)
Iter #: 1000 loss (7786829.1231654286, 4.8313061233798722e-05)
Iter #: 1010 loss (7786660.8431747491, 4.8789266120343938e-05)
Iter #: 1020 loss (7786493.36874488, 4.9265343399271702e-05)
Iter #: 1030 loss (7786326.6913467431, 4.974129323906676e-05)
Iter #: 1040 loss (7786160.802493887, 5.0217115824513131e-05)
Iter #: 1050 loss (7785995.6937419688, 5.069281132955271e-05)
Iter #: 1060 loss (7785831.3566883048, 5.1168379918546074e-05)
Iter #: 1070 loss (7785667.7829714185, 5.164382176385938e-05)
Iter #: 1080 loss (7785504.9642706718, 5.2119137020061957e-05)
Iter #: 1090 loss (7785342.8923056619, 5.2594325861480924e-05)
Iter #: 1100 loss (7785181.5588359507, 5.3069388439711409e-05)
Iter #: 1110 loss (7785020.9556604531, 5.3544324910798069e-05)
Iter #: 1120 loss (7784861.0746172238, 5.4019135422113348e-05)
Iter #: 1130 loss (7784701.9075827608, 5.4493820125189197e-05)
Iter #: 1140 loss (7784543.4464718187, 5.4968379169816299e-05)
Iter #: 1150 loss (7784385.6832367703, 5.5442812689755737e-05)
Iter #: 1160 loss (7784228.6098673912, 5.5917120840656742e-05)
Iter #: 1170 loss (7784072.218390259, 5.6391303745028637e-05)
Iter #: 1180 loss (7783916.5008684332, 5.6865361552666731e-05)
Iter #: 1190 loss (7783761.4494010312, 5.7339294386222276e-05)
Iter #: 1200 loss (7783607.0561227808, 5.7813102372403947e-05)
Iter #: 1210 loss (7783453.3132036356, 5.8286785648549016e-05)
Iter #: 1220 loss (7783300.2128483765, 5.8760344331954598e-05)
Iter #: 1230 loss (7783147.7472961759, 5.9233778549312334e-05)
Iter #: 1240 loss (7782995.9088202147, 5.9707088421330766e-05)
Iter #: 1250 loss (7782844.689727311, 6.0180274059472642e-05)
Iter #: 1260 loss (7782694.0823574476, 6.0653335585119511e-05)
Iter #: 1270 loss (7782544.0790834427, 6.1126273109067111e-05)
Iter #: 1280 loss (7782394.6723105581, 6.159908673972447e-05)
Iter #: 1290 loss (7782245.8544760868, 6.2071776587299983e-05)
Iter #: 1300 loss (7782097.6180489315, 6.2544342759790524e-05)
Iter #: 1310 loss (7781949.9555292958, 6.3016785356721707e-05)
Iter #: 1320 loss (7781802.8594482569, 6.3489104484216866e-05)
Iter #: 1330 loss (7781656.3223673925, 6.3961300234517931e-05)
Iter #: 1340 loss (7781510.3368783789, 6.443337271227982e-05)
Iter #: 1350 loss (7781364.895602677, 6.4905322005086579e-05)
Iter #: 1360 loss (7781219.9911910743, 6.5377148217662584e-05)
Iter #: 1370 loss (7781075.6163234217, 6.5848851437272978e-05)
Iter #: 1380 loss (7780931.7637081323, 6.6320431749885791e-05)
Iter #: 1390 loss (7780788.4260819135, 6.6791889245399163e-05)
Iter #: 1400 loss (7780645.5962093668, 6.7263224010680485e-05)
Iter #: 1410 loss (7780503.2668826636, 6.7734436129660217e-05)
Iter #: 1420 loss (7780361.4309210889, 6.8205525690851271e-05)
Iter #: 1430 loss (7780220.0811707573, 6.8676492764497735e-05)
Iter #: 1440 loss (7780079.2105042823, 6.9147337437309832e-05)
Iter #: 1450 loss (7779938.8118203273, 6.961805979001892e-05)
Iter #: 1460 loss (7779798.8780433424, 7.0088659895296742e-05)
Iter #: 1470 loss (7779659.4021231402, 7.0559137819446244e-05)
Iter #: 1480 loss (7779520.3770345803, 7.1029493653668182e-05)
Iter #: 1490 loss (7779381.7957772622, 7.1499727463395039e-05)
Iter #: 1500 loss (7779243.6513750758, 7.1969839308253067e-05)
Iter #: 1510 loss (7779105.9368759645, 7.2439829271004868e-05)
Iter #: 1520 loss (7778968.6453515068, 7.2909697417130912e-05)
Iter #: 1530 loss (7778831.7698966134, 7.3379443811127934e-05)
Iter #: 1540 loss (7778695.3036291683, 7.3849068523812686e-05)
Iter #: 1550 loss (7778559.2396897469, 7.4318571613961136e-05)
Iter #: 1560 loss (7778423.5712411189, 7.4787953147556203e-05)
Iter #: 1570 loss (7778288.2914681705, 7.525721318975902e-05)
Iter #: 1580 loss (7778153.3935773233, 7.5726351803867166e-05)
Iter #: 1590 loss (7778018.8707963368, 7.6195369040991557e-05)
Iter #: 1600 loss (7777884.7163739782, 7.6664264978503627e-05)
Iter #: 1610 loss (7777750.9235796155, 7.7133039663197472e-05)
Iter #: 1620 loss (7777617.4857029719, 7.7601693150718495e-05)
Iter #: 1630 loss (7777484.396053764, 7.8070225511731186e-05)
Iter #: 1640 loss (7777351.6479613865, 7.8538636794421609e-05)
Iter #: 1650 loss (7777219.2347745588, 7.9006927053675547e-05)
Iter #: 1660 loss (7777087.1498610638, 7.9475096353778655e-05)
Iter #: 1670 loss (7776955.3866073349, 7.9943144744516208e-05)
Iter #: 1680 loss (7776823.938418298, 8.0411072284544249e-05)
Iter #: 1690 loss (7776692.7987168562, 8.0878879027367816e-05)
Iter #: 1700 loss (7776561.9609436877, 8.1346565028881691e-05)
Iter #: 1710 loss (7776431.4185569966, 8.181413033907856e-05)
Iter #: 1720 loss (7776301.1650320012, 8.2281575019114999e-05)
Iter #: 1730 loss (7776171.1938608205, 8.2748899116161841e-05)
Iter #: 1740 loss (7776041.498552057, 8.3216102681257524e-05)
Iter #: 1750 loss (7775912.0726305051, 8.3683185777992292e-05)
Iter #: 1760 loss (7775782.9096368374, 8.4150148450112011e-05)
Iter #: 1770 loss (7775654.0031273598, 8.4616990757167853e-05)
Iter #: 1780 loss (7775525.3466735892, 8.5083712745742348e-05)
Iter #: 1790 loss (7775396.933862091, 8.5550314482894294e-05)
Iter #: 1800 loss (7775268.758294059, 8.6016796007588861e-05)
Iter #: 1810 loss (7775140.8135850253, 8.6483157382188721e-05)
Iter #: 1820 loss (7775013.0933646802, 8.6949398665301452e-05)
Iter #: 1830 loss (7774885.5912763989, 8.7415519898779534e-05)
Iter #: 1840 loss (7774758.3009770494, 8.7881521148204311e-05)
Iter #: 1850 loss (7774631.2161366949, 8.8347402464162203e-05)
Iter #: 1860 loss (7774504.3304382404, 8.8813163910217503e-05)
Iter #: 1870 loss (7774377.6375771957, 8.927880553132412e-05)
Iter #: 1880 loss (7774251.1312613487, 8.9744327394699337e-05)
Iter #: 1890 loss (7774124.8052104954, 9.0209729556791515e-05)
Iter #: 1900 loss (7773998.6531560719, 9.0675012071211972e-05)
Iter #: 1910 loss (7773872.6688410062, 9.1140175005737873e-05)
Iter #: 1920 loss (7773746.8460192783, 9.1605218412736452e-05)
Iter #: 1930 loss (7773621.1784557514, 9.2070142361120414e-05)
Iter #: 1940 loss (7773495.6599257877, 9.2534946912766383e-05)
Iter #: 1950 loss (7773370.2842150182, 9.2999632122181905e-05)
Iter #: 1960 loss (7773245.0451190472, 9.3464198065221354e-05)
Iter #: 1970 loss (7773119.9364431454, 9.3928644795309498e-05)
Iter #: 1980 loss (7772994.952002014, 9.4392972391547315e-05)
Iter #: 1990 loss (7772870.0856194226, 9.4857180919756027e-05)
Iter #: 2000 loss (7772745.3311280003, 9.5321270445409561e-05)
Iter #: 2010 loss (7772620.6823689323, 9.5785241038324261e-05)
Iter #: 2020 loss (7772496.1331916526, 9.624909278139645e-05)
Iter #: 2030 loss (7772371.6774536027, 9.671282573972515e-05)
Iter #: 2040 loss (7772247.3090199186, 9.7176439991867125e-05)
Iter #: 2050 loss (7772123.0217631767, 9.7639935616631064e-05)
Iter #: 2060 loss (7771998.8095631059, 9.8103312690618318e-05)
Iter #: 2070 loss (7771874.6663063504, 9.8566571297746975e-05)
Iter #: 2080 loss (7771750.5858860882, 9.9029711517112091e-05)
Iter #: 2090 loss (7771626.5622018836, 9.9492733437268942e-05)
Iter #: 2100 loss (7771502.589159295, 9.9955637140419567e-05)
Iter #: 2110 loss (7771378.6606697496, 0.00010041842272326111)
Iter #: 2120 loss (7771254.770650127, 0.00010088109027152052)
Iter #: 2130 loss (7771130.9130225331, 0.00010134363987622393)
Iter #: 2140 loss (7771007.0817140862, 0.00010180607164305238)
Iter #: 2150 loss (7770883.2706565792, 0.00010226838565645714)
Iter #: 2160 loss (7770759.4737862265, 0.00010273058202840388)
Iter #: 2170 loss (7770635.6850434206, 0.00010319266085352736)
Iter #: 2180 loss (7770511.8983724248, 0.0001036546222451878)
Iter #: 2190 loss (7770388.1077211602, 0.00010411646630081509)
Iter #: 2200 loss (7770264.3070408925, 0.00010457819314952497)
Iter #: 2210 loss (7770140.4902859703, 0.00010503980288198253)
Iter #: 2220 loss (7770016.6514135972, 0.00010550129563243264)
Iter #: 2230 loss (7769892.7843835382, 0.00010596267151156924)
Iter #: 2240 loss (7769768.8831578521, 0.00010642393064420193)
Iter #: 2250 loss (7769644.941700642, 0.00010688507315702893)
Iter #: 2260 loss (7769520.9539778316, 0.00010734609917749597)
Iter #: 2270 loss (7769396.9139568042, 0.00010780700883537628)
Iter #: 2280 loss (7769272.8156062355, 0.0001082678022711634)
Iter #: 2290 loss (7769148.6528958268, 0.00010872847962118605)
Iter #: 2300 loss (7769024.4197959825, 0.00010918904102422778)
Iter #: 2310 loss (7768900.1102776146, 0.00010964948662748747)
Iter #: 2320 loss (7768775.7183118621, 0.00011010981658266937)
Iter #: 2330 loss (7768651.2378698345, 0.00011057003104227604)
Iter #: 2340 loss (7768526.6629223535, 0.00011103013016276366)
Iter #: 2350 loss (7768401.9874397153, 0.0001114901141022483)
Iter #: 2360 loss (7768277.2053914154, 0.00011194998302991525)
Iter #: 2370 loss (7768152.3107459284, 0.000112409737109011)
Iter #: 2380 loss (7768027.2974703806, 0.00011286937652019667)
Iter #: 2390 loss (7767902.1595304096, 0.00011332890142697801)
Iter #: 2400 loss (7767776.8908898067, 0.0001137883120260832)
Iter #: 2410 loss (7767651.485510339, 0.00011424760849185699)
Iter #: 2420 loss (7767525.9373514429, 0.00011470679101831089)
Iter #: 2430 loss (7767400.2403700417, 0.00011516585979797831)
Iter #: 2440 loss (7767274.3885202603, 0.00011562481503655646)
Iter #: 2450 loss (7767148.3757531242, 0.00011608365693548976)
Iter #: 2460 loss (7767022.1960164411, 0.00011654238569754623)
