Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/PSiter_from2ROPPM_dim50_step0.0005_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (6698118.4316469878, 2.1138426055582609e-13)
Iter #: 20 loss (6248370.6665741727, 2.1963288469702695e-13)
Iter #: 30 loss (6057711.0997977573, 2.8353747121515057e-13)
Iter #: 40 loss (5933885.9697938906, 2.572325330013472e-13)
Iter #: 50 loss (5842316.6116397921, 3.5015821598399747e-13)
Iter #: 60 loss (5769155.544369733, 3.6856424711972871e-13)
Iter #: 70 loss (5718479.9620677428, 4.3325463237613102e-13)
Iter #: 80 loss (5685293.6789447088, 4.9204176613281236e-13)
Iter #: 90 loss (5651545.0014998931, 4.5533891204946085e-13)
Iter #: 100 loss (5630074.1627562055, 4.5333654132482144e-13)
Iter #: 110 loss (5618066.9472864503, 4.2602986283292068e-13)
Iter #: 120 loss (5597525.7558581494, 5.7166196499026735e-13)
Iter #: 130 loss (5478333.6836896362, 5.529666578992275e-13)
Iter #: 140 loss (5572724.2809616039, 5.4227971922385214e-13)
Iter #: 150 loss (5724505.5212441124, 6.7285901101941755e-13)
Iter #: 160 loss (5594976.6115311803, 6.7133448822896089e-13)
Iter #: 170 loss (5506526.6050092811, 6.7578035394786899e-13)
Iter #: 180 loss (5660544.8254706804, 7.4972528064081589e-13)
Iter #: 190 loss (5526385.2464849642, 8.1208529505449799e-13)
Iter #: 200 loss (5445884.6067739325, 7.8835690005441975e-13)
Iter #: 210 loss (5604458.4874618286, 8.867788909098937e-13)
Iter #: 220 loss (5471130.9025419801, 8.7546154841981348e-13)
Iter #: 230 loss (5395060.1386072189, 9.8513841183384261e-13)
Iter #: 240 loss (5556779.5727675296, 8.0482311652066119e-13)
Iter #: 250 loss (5424915.6789219799, 9.8771753737584793e-13)
Iter #: 260 loss (5351679.9724241728, 8.2917645743708898e-13)
Iter #: 270 loss (5515681.1427731402, 8.2956705701496807e-13)
Iter #: 280 loss (5385207.6042299205, 1.0237095702566998e-12)
Iter #: 290 loss (5314025.372149867, 8.9891734900080606e-13)
Iter #: 300 loss (5479782.7040976547, 9.7634556610158724e-13)
Iter #: 310 loss (5350501.9797562324, 8.2487329949546e-13)
Iter #: 320 loss (5280903.6149532543, 1.3677362506892142e-12)
Iter #: 330 loss (5448059.3382385913, 1.1837460963951837e-12)
Iter #: 340 loss (5319781.2327568121, 9.8018212312063412e-13)
Iter #: 350 loss (5251445.4308361979, 1.0826396245569138e-12)
Iter #: 360 loss (5419737.9723268999, 9.9519444401369115e-13)
Iter #: 370 loss (5292306.0104967309, 1.2072830284237092e-12)
Iter #: 380 loss (5224998.2226995425, 1.017038683579035e-12)
Iter #: 390 loss (5394229.4820569837, 1.0853716240791082e-12)
Iter #: 400 loss (5267519.4902783446, 1.1782344561077731e-12)
Iter #: 410 loss (5201062.358774025, 1.1048536831695843e-12)
Iter #: 420 loss (5371078.9846887719, 1.2932748811351152e-12)
Iter #: 430 loss (5244991.5909205507, 1.2179232518447905e-12)
Iter #: 440 loss (5179247.9314436829, 1.2754930202279284e-12)
Iter #: 450 loss (5349929.1867579324, 1.5938071176766166e-12)
Iter #: 460 loss (5224383.4061880819, 1.4407690196803205e-12)
Iter #: 470 loss (5159245.3017490376, 1.2413772115569407e-12)
Iter #: 480 loss (5330494.7843080088, 1.3038522686376168e-12)
Iter #: 490 loss (5205423.5562483808, 1.4971077375714376e-12)
Iter #: 500 loss (5140804.934807892, 1.2969230897598264e-12)
Iter #: 510 loss (5312544.7589190314, 1.2730853199253486e-12)
Iter #: 520 loss (5187891.8887420725, 1.4770247068982594e-12)
Iter #: 530 loss (5123723.2777945483, 1.440084431064258e-12)
Iter #: 540 loss (5295889.8844843227, 1.3172519157245319e-12)
Iter #: 550 loss (5171607.8648353629, 1.3575858845897469e-12)
Iter #: 560 loss (5107832.5608505784, 1.5531843225802834e-12)
Iter #: 570 loss (5280373.6152292686, 1.6650225343486876e-12)
Iter #: 580 loss (5156421.9904439086, 1.4731659086544742e-12)
Iter #: 590 loss (5092993.181362235, 1.1042954391733218e-12)
Iter #: 600 loss (5265865.2035107138, 1.3567215401447151e-12)
Iter #: 610 loss (5142209.2886057105, 1.4696067725936092e-12)
Iter #: 620 loss (5079087.8624271108, 1.8311510688032505e-12)
Iter #: 630 loss (5252254.3811088428, 1.5388764857340564e-12)
Iter #: 640 loss (5128864.2436099313, 1.602320838213619e-12)
Iter #: 650 loss (5066017.1342594847, 1.4618479316482145e-12)
Iter #: 660 loss (5239447.252323457, 1.5299801559196603e-12)
Iter #: 670 loss (5116296.9139227932, 1.5175935669447553e-12)
Iter #: 680 loss (5053695.8839792442, 1.8629392875957144e-12)
Iter #: 690 loss (5227363.1883618897, 2.1928267827210656e-12)
Iter #: 700 loss (5104430.008372983, 1.5817118608919043e-12)
Iter #: 710 loss (5042050.7675113976, 1.5879800996438429e-12)
Iter #: 720 loss (5215932.5142643517, 1.6544078672141031e-12)
Iter #: 730 loss (5093196.7019567974, 1.3332856762998939e-12)
Iter #: 740 loss (5031018.2505023107, 1.6766846922908398e-12)
Iter #: 750 loss (5205094.7429533293, 1.3081803088149166e-12)
Iter #: 760 loss (5082538.9450302534, 1.6132742967685995e-12)
Iter #: 770 loss (5020543.0484727696, 1.6172179074396748e-12)
Iter #: 780 loss (5194797.1370499227, 1.9605495418554205e-12)
Iter #: 790 loss (5072406.0710380981, 1.634912693267587e-12)
Iter #: 800 loss (5010576.8131156182, 1.6478876073985653e-12)
Iter #: 810 loss (5184993.4763100045, 1.8895008575006784e-12)
Iter #: 820 loss (5062753.6089504696, 1.8888027791552253e-12)
Iter #: 830 loss (5001077.0091318758, 1.6272267344025746e-12)
Iter #: 840 loss (5175643.0017787945, 1.722798884951084e-12)
Iter #: 850 loss (5053542.2805318516, 1.8620224998463052e-12)
Iter #: 860 loss (4992005.9764228985, 1.4725495917956769e-12)
Iter #: 870 loss (5166709.5409411052, 1.7456445727229784e-12)
Iter #: 880 loss (5044737.1788421841, 1.6384603888502846e-12)
Iter #: 890 loss (4983330.1710130963, 1.9883413818974294e-12)
Iter #: 900 loss (5158160.8058426641, 1.7988534519470841e-12)
Iter #: 910 loss (5036307.1110067153, 1.8226100804694362e-12)
Iter #: 920 loss (4975019.5615187595, 1.9886550178888132e-12)
Iter #: 930 loss (5149967.8380255541, 1.694525579394218e-12)
Iter #: 940 loss (5028224.0766497813, 1.4985967068635293e-12)
Iter #: 950 loss (4967047.1498665223, 2.432463183127807e-12)
Iter #: 960 loss (5142104.5677118571, 1.8169151314068732e-12)
Iter #: 970 loss (5020462.8512735926, 2.1574929249410501e-12)
