Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PPM_dim50_step1.1e-05_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (6672160.3606337225, 2.1340996025925016)
Iter #: 20 loss (6707832.0203218618, 4.2788875302495732)
Iter #: 30 loss (6161600.03847853, 88.139821783808799)
Iter #: 40 loss (5839836.358466004, 189.26416995698867)
Iter #: 50 loss (5728755.97108276, 264.36256127327255)
Iter #: 60 loss (5618313.9767066753, 335.38372141030521)
Iter #: 70 loss (5528716.1440913938, 402.06169366455208)
Iter #: 80 loss (5452328.0256719766, 465.84836425532069)
Iter #: 90 loss (5385222.6906139692, 526.89314876250307)
Iter #: 100 loss (5327232.6801327085, 584.95077767688315)
Iter #: 110 loss (5276036.1186138391, 640.22895589750033)
Iter #: 120 loss (5229129.7419796009, 693.19073493210692)
Iter #: 130 loss (5185939.6048610052, 744.00914916340457)
Iter #: 140 loss (5146372.8765974957, 792.74963824909287)
Iter #: 150 loss (5110211.7460957384, 839.49626204112667)
Iter #: 160 loss (5077164.4441570565, 884.35030612853643)
Iter #: 170 loss (5046934.8549327943, 927.41702870234712)
Iter #: 180 loss (5019247.6238894109, 968.79868866137315)
Iter #: 190 loss (4993853.1970488615, 1008.5918088147323)
Iter #: 200 loss (4970527.2467874316, 1046.8863832150168)
Iter #: 210 loss (4949068.9563946137, 1083.7659239242068)
Iter #: 220 loss (4929298.9517780133, 1119.3078671855717)
Iter #: 230 loss (4911057.0198354013, 1153.5841127656545)
Iter #: 240 loss (4894199.8159577986, 1186.661576878417)
Iter #: 250 loss (4878598.7753763432, 1218.6026980114948)
Iter #: 260 loss (4864138.3580592982, 1249.4658746076909)
Iter #: 270 loss (4850714.6460595708, 1279.3058377209761)
Iter #: 280 loss (4838234.2226840816, 1308.1739717846717)
Iter #: 290 loss (4826613.2198322369, 1336.1185968036559)
Iter #: 300 loss (4815776.4274725588, 1363.1852210938312)
Iter #: 310 loss (4805656.4019244593, 1389.41676915164)
Iter #: 320 loss (4796192.5627662847, 1414.8537861133332)
Iter #: 330 loss (4787330.3097951077, 1439.5346188771118)
Iter #: 340 loss (4779020.2091681054, 1463.4955740675655)
Iter #: 350 loss (4771217.2912737811, 1486.7710540989458)
Iter #: 360 loss (4763880.4812121633, 1509.3936738964744)
Iter #: 370 loss (4756972.1584387943, 1531.3943616688607)
Iter #: 380 loss (4750457.8243126431, 1552.8024472028651)
Iter #: 390 loss (4744305.8482154971, 1573.64574065751)
Iter #: 400 loss (4738487.2632660232, 1593.9506041656437)
Iter #: 410 loss (4732975.5882644402, 1613.742017997715)
Iter #: 420 loss (4727746.660214833, 1633.0436426803444)
Iter #: 430 loss (4722778.4692018712, 1651.8778782144118)
Iter #: 440 loss (4718050.9931482533, 1670.2659213040552)
Iter #: 450 loss (4713546.0335671064, 1688.2278212431563)
Iter #: 460 loss (4709247.0550544951, 1705.7825348239778)
Iter #: 470 loss (4705139.0314964987, 1722.9479803762501)
Iter #: 480 loss (4701208.3014065232, 1739.7410908514025)
Iter #: 490 loss (4697442.4339522701, 1756.1778657508146)
Iter #: 500 loss (4693830.1063901074, 1772.2734216525562)
Iter #: 510 loss (4690360.9929476501, 1788.0420410993033)
Iter #: 520 loss (4687025.6647256957, 1803.4972196495005)
Iter #: 530 loss (4683815.4999070121, 1818.6517109463621)
Iter #: 540 loss (4680722.6034211274, 1833.5175697127397)
Iter #: 550 loss (4677739.7351730419, 1848.1061926274469)
Iter #: 560 loss (4674860.245964569, 1862.4283570776424)
Iter #: 570 loss (4672078.0202888884, 1876.4942578120722)
Iter #: 580 loss (4669387.4252475882, 1890.3135415423933)
Iter #: 590 loss (4666783.264910643, 1903.8953395558597)
Iter #: 600 loss (4664260.7395105865, 1917.2482984137655)
Iter #: 610 loss (4661815.4089274788, 1930.3806088173681)
Iter #: 620 loss (4659443.1599818487, 1943.3000327275176)
Iter #: 630 loss (4657140.1771074021, 1956.0139288265545)
Iter #: 640 loss (4654902.9160242975, 1968.5292764117162)
Iter #: 650 loss (4652728.0800779695, 1980.8526978086893)
Iter #: 660 loss (4650612.5989476806, 1992.990479392324)
Iter #: 670 loss (4648553.6094638435, 2004.9485912991208)
Iter #: 680 loss (4646548.4383040238, 2016.7327059130873)
Iter #: 690 loss (4644594.5863646762, 2028.3482152030811)
Iter #: 700 loss (4642689.7146296939, 2039.8002469859703)
Iter #: 710 loss (4640831.6313773803, 2051.0936801859248)
Iter #: 720 loss (4639018.2805860918, 2062.2331591560546)
Iter #: 730 loss (4637247.7314144019, 2073.2231071244669)
Iter #: 740 loss (4635518.168645693, 2084.0677388227077)
Iter #: 750 loss (4633827.8839990906, 2094.7710723506061)
Iter #: 760 loss (4632175.2682193639, 2105.3369403276474)
Iter #: 770 loss (4630558.8038677787, 2115.7690003773814)
Iter #: 780 loss (4628977.0587440664, 2126.0707449878973)
Iter #: 790 loss (4627428.6798768062, 2136.2455107881701)
Iter #: 800 loss (4625912.3880264508, 2146.2964872770704)
Iter #: 810 loss (4624426.9726505792, 2156.2267250390573)
Iter #: 820 loss (4622971.2872863077, 2166.0391434780263)
Iter #: 830 loss (4621544.2453095121, 2175.7365380984388)
Iter #: 840 loss (4620144.8160345303, 2185.3215873607596)
Iter #: 850 loss (4618772.0211220803, 2194.7968591362796)
Iter #: 860 loss (4617424.9312659884, 2204.1648167846761)
Iter #: 870 loss (4616102.6631330978, 2213.4278248760693)
Iter #: 880 loss (4614804.3765326785, 2222.5881545779221)
Iter #: 890 loss (4613529.2717947531, 2231.6479887258306)
Iter #: 900 loss (4612276.5873385761, 2240.6094265960878)
Iter #: 910 loss (4611045.5974145634, 2249.4744883968515)
Iter #: 920 loss (4609835.6100048162, 2258.2451194937607)
Iter #: 930 loss (4608645.9648687374, 2266.9231943849832)
Iter #: 940 loss (4607476.0317218043, 2275.5105204398501)
Iter #: 950 loss (4606325.2085366482, 2284.0088414144952)
Iter #: 960 loss (4605192.919956753, 2292.419840757198)
Iter #: 970 loss (4604078.6158140544, 2300.7451447155117)
